gene_id	gene_name	control_rep1	control_rep2	control_rep3	nilotinib_rep1	nilotinib_rep2	nilotinib_rep3
AC105760.3	AC105760.3	0.014462	0	0.029511	0	0.01626	0
AC107070.1	AC107070.1	0	0	0	0	0	0
AC107622.1	AC107622.1	0	0	0	0	0.017988	0
AC108142.1	AC108142.1	0	0.055585	0	0	0	0
AC109828.1	AC109828.1	0.049603	0.06204	0.152146	0.216091	0	0.052354
AC113607.2	AC113607.2	0	0.08316	0	0	0	0
AC116035.1	AC116035.1	0	0	0	0	0	0
AC125421.1	AC125421.1	0	0	0	0	0	0.028384
AC131097.3	AC131097.3	1.014758	0.572112	1.515056	0.497958	0.298455	1.017497
AC136896.1	AC136896.1	0	0	0	0	0	0
AC137932.6	AC137932.6	0	0	0	0.297788	0.202676	0.163519
AC144449.1	AC144449.1	0.047917	0.119935	0.146992	0.156379	0.05289	0.25311
AC145110.1	AC145110.1	0	0	0	0	0.023589	0
AC147651.4	AC147651.4	4.420523	4.474104	7.308692	2.730309	4.344121	1.815184
AC159540.1	AC159540.1	1.806477	1.116294	0.310653	1.52755	1.392556	2.479077
AC159540.1-2	AC159540.1	1.46715	1.092847	1.015654	1.94115	1.779942	3.165488
AC226118.1	AC226118.1	0	0	0.043908	0	0	0.078955
ACAA1	ACAA1	45.945891	49.693028	57.520916	27.503701	28.266176	37.186934
ACAA2	ACAA2	32.768925	40.095067	37.62858	29.301838	31.817292	34.528012
ACACA	ACACA	32.501555	31.818245	32.535517	14.027255	15.465466	20.026623
ACACB	ACACB	3.712628	5.468873	4.650214	2.251155	2.213922	2.993705
ACAD10	ACAD10	13.621255	15.966172	16.869297	18.77224	21.091347	19.289393
ACAD11	ACAD11	3.211672	4.034396	5.34057	0.963458	0.985991	1.017303
ACAD8	ACAD8	20.052717	18.474979	23.178271	14.902905	16.684968	19.043116
ACAD9	ACAD9	16.596068	17.272057	19.248338	9.509142	14.288772	17.73836
ACADL	ACADL	0	0	0	0	0.014365	0
ACADM	ACADM	57.80333	54.976236	62.604867	42.066826	51.185426	45.007142
ACADS	ACADS	23.62715	26.733908	31.323163	55.072451	64.3589	55.482072
ACADSB	ACADSB	4.033274	4.452992	4.057731	1.93734	1.622959	2.318461
ACADVL	ACADVL	168.641973	170.495553	194.104285	144.612104	150.762348	164.487235
ACAN	ACAN	0	0	0.003497	0.026344	0.00776	0.003828
ACAP1	ACAP1	11.512739	10.158036	10.188437	7.933589	5.740567	3.684829
ACAP2	ACAP2	34.791639	35.637547	33.030946	19.01957	21.358727	18.952415
ACAP3	ACAP3	31.396539	32.521603	35.828643	66.113941	63.426721	76.626433
ACAT1	ACAT1	84.116814	85.038414	81.07032	45.050329	43.094139	51.631261
ACAT2	ACAT2	114.267467	110.427887	121.806357	57.089071	46.705487	42.533901
ACBD3	ACBD3	46.217228	41.170931	44.461004	31.218253	25.53123	21.662118
ACBD4	ACBD4	15.788556	17.350996	18.247389	15.797246	16.909015	20.563058
ACBD5	ACBD5	7.760932	7.215353	7.802068	3.927007	4.878432	5.409329
ACBD6	ACBD6	97.230826	95.732647	92.401901	40.369732	43.581804	47.269591
ACBD7	ACBD7	1.326912	1.455636	1.558591	0.290869	0.237342	0.436003
ACCS	ACCS	13.320902	15.37743	21.531927	15.267234	16.349267	23.047499
ACCSL	ACCSL	0.01846	0.046097	0	0.020198	0.020709	0
ACD	ACD	22.638848	23.619961	27.595489	15.070842	18.223397	19.055963
ACE	ACE	1.329975	1.906969	1.451386	0.006757	0.069591	0.020558
ACE2	ACE2	0.008764	0	0.071502	0.038425	0.138382	0.097154
ACER1	ACER1	0	0.043482	0	0	0	0
ACER2	ACER2	1.580135	2.392396	3.169722	3.84571	3.603516	3.255582
ACER3	ACER3	12.409889	11.967929	13.39912	7.236155	8.202459	9.293532
ACHE	ACHE	2.8848	2.954858	2.634854	14.461639	16.074884	21.330391
ACIN1	ACIN1	139.531798	133.908852	134.495938	77.36285	72.302435	95.519465
ACKR2	ACKR2	0.790884	0.984827	0.763656	1.767895	1.770361	1.842846
ACKR3	ACKR3	0	0	0	0	0.019201	0.018761
